	user_id	age
0	80	20.0
1	101	24.0
2	30	20.0
3	86	21.0
4	46	21.0
5	40	20.0
6	75	19.0
7	50	20.0
8	89	23.0
9	88	21.0
10	44	21.0
11	62	20.0
12	26	21.0
13	70	20.0
14	43	21.0
15	53	
16	22	26.0
17	57	21.0
18	76	20.0
19	34	21.0
20	37	21.0
21	38	22.0
22	99	21.0
23	83	20.0
24	52	
25	39	20.0
26	72	20.0
27	65	22.0
28	36	21.0
29	29	20.0
30	85	22.0
31	92	21.0
32	11	
33	61	
34	33	20.0
35	77	21.0
36	81	21.0
37	66	20.0
38	49	
39	71	21.0
40	95	20.0
41	94	21.0
42	78	20.0
43	58	20.0
44	28	21.0
45	16	26.0
46	55	19.0
47	60	20.0
48	90	
49	74	21.0
50	82	
51	68	20.0
52	84	19.0
53	64	21.0
54	100	21.0
55	98	20.0
56	87	20.0
57	69	
58	48	22.0
59	41	19.0
60	93	20.0
61	56	20.0
62	63	21.0
63	73	
64	59	21.0
65	32	
66	45	21.0
67	102	21.0
68	27	21.0
69	54	20.0
70	79	21.0
71	67	21.0
72	24	21.0
73	25	21.0
74	12	
75	96	21.0
76	91	21.0
77	31	20.0
78	35	20.0
79	97	20.0
